"N","S1","S2","S3","P1","P2","P3"
28,1,3,24,3.97639370272475e-07,1.38216707744711e-05,0.999985780689919
28,1,4,23,7.63291854836191e-07,9.06023896375665e-05,0.999908634318563
28,1,5,22,1.4467200836484e-06,0.000458900303232167,0.99953965297675
28,1,6,21,2.67196741312985e-06,0.00186975706021016,0.998127570972443
28,1,7,20,4.73843130580626e-06,0.00630090141011165,0.993694360158632
28,1,8,19,7.95213199613229e-06,0.0179248807908699,0.982067167077196
28,1,9,18,1.24661571257524e-05,0.0437387602521034,0.956248773590808
28,1,10,17,1.80624449377954e-05,0.0927526573749529,0.907229280180158
28,1,11,16,2.39977149015724e-05,0.172904385286539,0.827071616998615
28,1,12,15,2.90769645067593e-05,0.286378288723432,0.713592634312092
28,1,13,14,3.20236770258393e-05,0.425947563325699,0.57402041299732
28,1,14,13,3.20083595918226e-05,0.575389423744085,0.424578567896365
28,1,15,12,2.90359158231604e-05,0.714779126654711,0.285191837429496
28,1,16,11,2.39429741052305e-05,0.82796150257233,0.17201455445362
28,1,17,10,1.80073505112368e-05,0.90780510365944,0.0921768889900981
28,1,18,9,1.24205493444047e-05,0.956568688212871,0.0434188912378214
28,1,19,8,7.92075838463642e-06,0.98221871433611,0.0177733649055658
28,1,20,7,4.72163190856111e-06,0.993754982933609,0.00624029543453155
28,1,21,6,2.66693723385248e-06,0.9981477778768,0.00184955518603219
28,1,22,5,1.44886366229303e-06,0.999545160405265,0.000453390731139173
28,1,23,4,7.6790652264926e-07,0.999909827430877,8.94046626543957e-05
28,1,24,3,4.01538477799337e-07,0.999985976411025,1.36220505600877e-05
28,1,25,2,2.08627548027443e-07,0.999998286928493,1.50444402286451e-06
28,1,26,1,1.08085125105393e-07,0.999999784751672,1.07163274237587e-07
28,1,27,0,5.59200851663885e-08,0.99999994027493,3.80505552253688e-09
28,2,0,26,8.10064370353361e-07,7.73827698609734e-09,0.999999182197417
28,2,1,25,1.50633866011462e-06,2.10169662657563e-07,0.999998283491738
